addr,key,name
天津市河西区体院北环湖中道1号,重点,天津市河西区中山小学
天津市和平区南京路86号,重点,天津市第二十中学附属小学
天津市河北区金田道1号,重点,天津市河北区实验小学
天津市红桥区水木天成团结路1号,重点,天津市师范附属小学
宁河县芦台镇大艇小学,普通,宁河县芦台镇大艇小学
天津市武清区上马台镇北五村南,普通,天津市武清区上马台乡北五村中心小学
天津市蓟县桑梓镇常各庄村村北,普通,蓟县桑梓镇常各庄中心小学
天津市塘沽区新港新民街74号,重点,天津市塘沽区新港第一小学（新港一小学）
天津市南开区迎水道18号,重点,天津市西青区中北小学
天津市河西区梅江道121号,重点,天津市河西区中心小学
天津市河东区中山门中心南道31号,重点,天津市河东区互助道小学
天津市河东区中山门中心南道31号,重点,天津市河东区中心东道小学
天津市滨海新区江苏路5号,重点,天津市塘沽区上海道小学
天津市宝坻区牛道口镇塘头村,普通,天津市宝坻区塘头中心小学
天津市宝坻区貉子沽村北,普通,天津市宝坻区黄庄乡貉子沽小学
天津市蓟县东施古镇西施古村,普通,蓟县东施古镇西施古中心小学
天津市宝坻区大钟庄镇袁罗庄村北,普通,天津市宝坻区大钟庄镇袁罗庄高级小学
天津市宁河县潘庄镇东塘坨村,普通,东塘坨小学
天津市河北区金钟河东街7号,普通,天津市河北区金钟小学
天津市宝坻区黄庄乡北里自沽村,普通,天津市宝坻区黄庄乡北里自沽小学
天津市武清区王庆坨镇郑家楼村西,普通,天津市武清区王庆坨镇郑大小学
红桥区红旗北路6号,普通,天津市邵公庄小学 
天津市武清区城关镇小屯村,普通,天津市武清区城关镇小屯中心小学
天津市宝坻区尔王庄乡闫皮庄村西南,普通,宝坻区尔王庄乡闫皮庄中心小学
天津市河东区学堂大街83号,重点,天津市河东区第二实验小学（河东实验二小）
天津市南开区复康路21号,重点,天津南开大学附属小学（南大附小）
天津市宁河县北淮淀乡乐善庄村东南,普通,天津市乐善庄小学
天津市红桥区佳园里中心路1号,普通,天津市红桥区佳园里小学
宝坻区尔王庄乡高庄户村村东,普通,宝坻区尔王庄乡高庄户中心小学
天津市滨海新区文化街3号同1号,重点,天津市塘沽区一中心小学
天津市河北区月纬路21号,重点,天津市河北区新开小学
天津市南开区汾水道41号,重点,天津市南开科技实验小学（原黄河道小学）
天津市河西区小海地平江里21号,重点,天津市河西区珠江道小学
天津市滨海新区营口道,重点,天津市塘沽区实验学校
天津市塘沽区上海道2461号,重点,天津市塘沽区浙江路小学
天津市塘沽区草场街204号,重点,天津市塘沽草场街小学
天津市津南区王家场小学1区24号,普通,天津市津南区王家场联合小学
天津市蓟县西龙虎峪镇燕各庄村,普通,燕各庄中心小学
天津市津南区双港镇南马集村（西）,普通,天津市津南区北马集联合小学
蓟县许家台乡许家台村,普通,蓟县许家台乡许家台中心小学
天津市西青区辛口镇小沙沃村西,普通,大沙沃中心小学
天津市蓟县下营镇黄崖关村,普通,蓟县下营镇黄崖关中心小学
天津市蓟县东赵乡安二寺中心小学,普通,天津市东赵乡安二寺中心小学
汉沽区大田镇大田村东,普通,天津市汉沽区大田小学
东施古镇柳子口村西,普通,柳子口中心小学
红桥区教军场大街42号,普通,天津市红桥区芥园小学
蓟县洇溜镇八里庄村,普通,八里庄完全小学
桑梓镇桑梓村,普通,桑梓中心小学
天津市红桥区大丰路先春园小区内,普通,天津市红桥区文昌宫小学
天津市宝坻区牛家牌乡李家牌村北,普通,宝坻区牛家牌乡李家牌中心小学
天津市南开区川府新村温江路2号,普通,天津市南开区川府里小学
静海县大邱庄镇王虎庄村,普通,静海县大邱庄镇王虎庄小学
蓟县东赵乡南新庄小学,普通,蓟县东赵乡南辛庄小学
天津市武清区崔黄口镇大宫城东村,普通,天津市武清区崔黄口镇大宫城中心小学
蓟县尤古庄镇侯庄子村东,普通,蓟县尤古庄镇育新中心小学
蓟县礼明庄乡徐各庄村西,普通,礼明庄乡徐各庄中心小学
天津市武清区,普通,天津市武清区杨村第六小学
天津市北辰区大张庄镇朱唐庄村南,普通,天津市北辰区朱唐庄小学
天津市武清区徐官屯街徐官屯村南,普通,天津市武清区徐官屯街徐官屯中心小学
红桥区清源里小区,普通,天津市清源道小学
静海县大邱庄镇黄河道1号,普通,就是静海县大邱庄镇津美小学
东丽区新立街务本一村,普通,天津市东丽区务本一村小学
天津市宝坻区南关大街168号,普通,天津市宝坻区华苑小学
尤古庄村北,普通,尤古庄镇中心小学
天津市宝坻区史各庄镇尚庄村,普通,天津市宝坻区史各庄镇尚庄中心小学
天津市蓟县桑梓镇四百户村西,普通,天津市桑梓镇四百户中心小学
静海县唐官屯镇大十八户村,普通,天津市静海县唐官屯镇大十八户中心小学
天津市宝坻区进京路三号,普通,进京路小学
天津市静海县杨成庄乡东寨村,普通,天津市静海县杨成庄乡东寨小学
天津市宝坻区八门城镇菱角沽村,普通,镇菱角沽中心小学
天津市静海县唐官屯镇亚庄子村,普通,天津市唐官屯镇亚庄子中心小学
天津市红桥区咸阳北路9号 ,普通,天津市红桥区雷锋小学
蓟县别山镇别山村西,普通,蓟县别山小学
天津市和平区鞍山道81号,普通,天津市和平区鞍山道小学
天津市蓟县孙各庄满族乡隆福寺村南,普通,孙各庄满族乡第二中心小学
天津市西青区精武镇小南河村，荣华道南侧,普通,天津市小南河中心小学
天津市蓟县五百户镇金庄子村北,普通,天津市头百户中心小学
静海县沿庄镇西港村,普通,静海县沿庄镇西港中心小学
天津市河东区和平村增产巷5号,普通,天津市三毛艺术学校
天津市武清区汊沽港镇苑家堡村北,普通,天津市武清区汊沽港镇苑家堡中心小学
天津市大港区古林街古林里上古林小学,普通,天津市大港区上古林小学
天津市宝坻区海滨街道三官庙街44号,普通,北城路小学
天津市津南区津沽路67号,普通,天津市津南区咸水沽第四小学
天津市静海县良王庄乡四小屯村,普通,天津市良王庄乡四小屯中心小学
天津市静海县双塘镇西双塘村,普通,天津市双塘镇西双塘小学
天津市静海县良王庄乡府君庙村,普通,良王庄乡府君庙中心小学
天津市蓟县西龙虎峪镇鹿角河村,普通,鹿角河完全小学
天津市红桥区大丰路先春园小区内,普通,天津市红桥区文昌宫民族小学
天津市河西区小海地三水道华江里,普通,天津市河西区华江里小学
天津市宝坻区大口屯镇六合村南,普通,宝坻区大口屯镇大口屯小学
天津市北辰区延吉道11号,普通,天津市北辰区北仓小学
天津市大港区太平镇郭庄子村,普通,天津市大港区太平镇第三小学
天津市河北区灌云路１号,普通,天津市河北区连云路小学
天津市东丽区驯海路西,普通,天津市东丽区宝元村小学
蓟县桑梓镇归宁屯村,普通,天津市归宁屯中心小学
天津市东丽区万新街杜庄村学校,普通,天津市东丽区杜庄中心小学
静海县大邱庄镇,普通,天津市静海县大邱庄镇津海小学
静海县沿庄镇双楼村,普通,静海县沿庄镇双楼中心小学
天津市宝坻区八门城镇中于圈村,普通,宝坻区八门城镇中圈中心小学
天津市北辰区青光镇杨嘴村红领巾路,普通,天津市北辰区青光镇杨嘴小学
天津市滨海新区大港中塘镇仁合里小区,普通,天津市大港区仁合小学
天津市河西区越秀路健春里2号,普通,天津市河西区四号路小学
天津市河北区富强道40号,普通,天津市河北区光明小学
天津市河西区体院北环湖北道6号,普通,天津市河西区滨湖小学
天津市武清区河西务镇羊坊村北,普通,天津市武清区河西务镇羊坊小学
天津市汉沽区茶淀镇茶西村,普通,天津市汉沽区茶淀小学
天津市西青区李七庄街于台村东,普通,天津市蔡台小学
天津市和平区哈密道80号,普通,天津市和平区哈密道小学
中旺镇大庄子村,普通,中旺镇大庄子中心小学
天津市和平区河北路203号,普通,天津市和平区赤峰道小学
天津市和平区岳阳道46号,普通,天津市和平区培育学校
天津市宝坻区大钟庄镇康家庄,普通,天津市宝坻区大米庄中心小学
天津市宝坻区林亭口镇石碑中心小学,普通,天津市宝坻区石碑中心小学
天津市津南区咸水沽镇南洋村,普通,天津市津南区南洋码头联合小学
林亭口镇苏家庄村北,普通,天津市林亭口镇希望小学
天津市蓟县迎宾路渔阳宾馆南侧,普通,天津市蓟县渔阳镇东北隅中心小学
天津市津南区八里台镇巨戈庄村,普通,天津市津南区巨戈庄小学
天津市河北区幸福道29号,普通,天津市河北区正华学校
宝坻区林亭口镇大新中心小学,普通,宝坻区林亭口镇大新中心小学
天津市津南区北闸口镇老左营村,普通,天津市津南区老左营联合小学
天津市宝坻区马家店镇大兰各庄村北,普通,天津市宝坻区马家店镇大兰中心小学
邦均镇102国道南，西兵马村,普通,天津市邦均镇第五中心小学
天津市津南区北闸口村西右营村,普通,天津市津南区西右营联合小学
天津市武清区泗村店镇旧县村,普通,天津市武清区泗村店镇旧县中心小学
天津市武清区曹子里乡汊百户村东侧,普通,天津市武清区曹子里乡汊百户中心小学
